"title","auth_name"
"Verarbeitung von Vagheits- und Unsicherheitsbewertungen: Tools für das Testen von Ansätzen für die Unifikation und die Logikbehandlung von mit Unsicherheit und Vagheit bewerteten Graphen im L-LILOG-STUF-Graphenkonzept","Josef Gemander"
"Modeling Structured Open Worlds in a Database System: The FLL-Approach","Thomas Ludwig 0001"
"Integrating a Deductive Database System with a Warren Abstract Machine","Stefan Böttcher"
"Ein neuer Ansatz zur Integration unterschiedlicher lexikalischer Resourcen","Wilfried Hötker"
"Ein neuer Ansatz zur Integration unterschiedlicher lexikalischer Resourcen","Petra Ludewig"
"Expressing Linguistic Knowledge in STUF '91","Karel Oliva"
"Zeit und Aspekt bei der Verarbeitung natürlicher Sprachen","Uwe Reyle"
"Spezifikation eines Theorembeweisers für dreiwertige First-Order Logik.","Reiner Hähnle"
"Über die W's der Textgenerierung: Was, wofür, wo und wie: Wissensbasierte Generierung von informierenden Texten in einem Auskunftssystem","Jutta Kreiß"
"Integrating Model Theoretic and Proof Theoretic Interpretation of Logic Programs","Udo Pletat"
"THOR - A System for Computing in Equational Theories","Wolfgang Wernecke"
"Syntactic Processing of Unknown Words","Gregor Erbach"
"Verträglichkeitsprüfungen für die Verarbeitung räumlichen Wissens","Simone Pribbenow"
"A Tool Kit for Knowledge Based Production Planning Systems","Stefan Böttcher"
"Wortbedeutungen und lexikalische Repräsentationen","Mechthild Rickheit"
"Semantische Repräsentation von Plural-Phänomenen","Jürgen Manowsky"
"Results on Non-Monotonic Logics.","Karl Schlechta"
"Modelling Spatial Knowledge on a Linguistic Basis","Ewald Lang"
"Modelling Spatial Knowledge on a Linguistic Basis","Kai-Uwe Carstensen"
"Modelling Spatial Knowledge on a Linguistic Basis","Geoffrey Simmons"
"Modularizing Knowledge in LILOG","Udo Pletat"
"Rule Rewriting Techniken zur globalen Optimierung von FLL-Programmen","Thomas Ludwig 0001"
"Rule Rewriting Techniken zur globalen Optimierung von FLL-Programmen","Arne Pott"
"Variable Subkategorisierung: Eine Theorie unpersönlicher Einbettungen im Deutschen","Tibor Kiss"
"Presupposition, Anaphora, and Lexical Content.","Rob A. van der Sandt"
"Presupposition, Anaphora, and Lexical Content.","Bart Geurts"
"Development and Programming of Deductive Databases with PROTOS-L","Stefan Böttcher"
"A Shared Segment and Interprocess Communication Facility for VM/370","Jim Gray 0001"
"A Shared Segment and Interprocess Communication Facility for VM/370","Vera Watson"
"ICL - An Integrity Control Language: Konzeption und Implementierung einer formalen Sprache zur Integritätskontrolle von Wissensbasen","Adrian Müller"
"The Algebra of Feature Graph Specifications","Christoph Beierle"
"The Algebra of Feature Graph Specifications","Udo Pletat"
"A Persistent Store for Large Shared Knowledge Bases","Eric Mays"
"A Persistent Store for Large Shared Knowledge Bases","Sitaram Lanka"
"A Persistent Store for Large Shared Knowledge Bases","Robert Dionne"
"A Persistent Store for Large Shared Knowledge Bases","Robert A. Weida"
"Representation and Accessibility of Discourse Referents","Peter Bosch"
"Gebietskonstituierende Prozesse","Christopher Habel"
"Gebietskonstituierende Prozesse","Simone Pribbenow"
"Slide Search.","H. Raymond Strong"
"Slide Search.","Irving L. Traiger"
"Slide Search.","George Markowsky"
"Complexity of Logical Decision Problems: An Introduction","Egon Börger"
"Weiterentwicklung des Earley-Algorithmus für kontextfreie und ID/LP-Grammatiken","Jochen Dörre"
"Terminological Reasoning is Inherently Intractable","Bernhard Nebel"
"Graph Based Extension of the LILOG Inference Engine","Stefan Bayerl"
"Graph Based Extension of the LILOG Inference Engine","Karl-Hans Bläsius"
"Verarbeitung natürlicher Sprache","Günther Görz"
"A Model for Discourse Particles","Kjell Johan Sæbø"
"Chart-Parsing of Unification-Based Grammars with ID/LP-Rules","Roland Seiffert"
"Transitive Closure: New Aspects of an Old Theme","Stefan Benzschawel"
"On Structuring Domain-Specific Knowledge","Ipke Wachsmuth"
"Die Sloppy/Referenzielle Ambiguität: Bildungssyntax oder Diskursrepräsentationstheorie?","Jean-Yves Lerner"
"Die Sloppy/Referenzielle Ambiguität: Bildungssyntax oder Diskursrepräsentationstheorie?","Ulrich Schatz"
"Standards für das Programmieren in Prolog für LILOG, Version 3.3","Jan Wilms"
"LILOG Prototype I Grammar Documentation: Semantics","Gosse Bouma"
"Datenbankkonzepte für wissensbasierte Systeme","Bernd Walter"
"Using a Structured English Query Language as a Data Definition Facility.","Raymond F. Boyce"
"Using a Structured English Query Language as a Data Definition Facility.","Donald D. Chamberlin"
"The Compilation of a High Level Data Language.","Raymond A. Lorie"
"The Compilation of a High Level Data Language.","Bradford W. Wade"
"Ein Lernverfahren für den automatischen Erwerb von Kontrollwissen","Karin Neuhold"
"Stability Analysis of Wireless Networks","Richard Rödler"
"Finding Scientific Papers with HPSearch and MOPS","Gerd Hoff"
"Finding Scientific Papers with HPSearch and MOPS","Martin Mundhenk"
"A Modified Mesh Independence Principle of Newton's Method","Manfred Laumen"
"VisBDD - A Webbased Visualization Framework for OBDD Algorithms","Christoph Meinel"
"VisBDD - A Webbased Visualization Framework for OBDD Algorithms","Harald Sack"
"VisBDD - A Webbased Visualization Framework for OBDD Algorithms","Volker Schillings"
"On Boolean vs. Modular Arithmetic for Circuits and Communication Protocols","Carsten Damm"
"A Parametric View to the Mangasarian-Fromovitz Constraint Qualification","Martin Gugat"
"A Decomposition Method in Nonconvex Mixed-Integer Programming","Nguyen V. Thoai"
"Trust Region Methods for Solving the Optimal Output Feedback Design Problem","Friedemann Leibfritz"
"Trust Region Methods for Solving the Optimal Output Feedback Design Problem","El-Sayed M. E. Mostafa"
"A Decomposition Method Using Duality Bounds for Nonconvex Optimization","Nguyen V. Thoai"
"Nonuniform Grids for Reduced Basis Design of Low Order Feedback Controllers for Nonlinear Continuous Systems","Belinda B. King"
"Approximation of the Newton Step by a Defect Correction Process","Eyal Arian"
"Approximation of the Newton Step by a Defect Correction Process","A. Battermann"
"Approximation of the Newton Step by a Defect Correction Process","Ekkehard W. Sachs"
"Polytope Containment and Determination by Linear Probes","Peter Gritzmann"
"Polytope Containment and Determination by Linear Probes","Victor Klee"
"Polytope Containment and Determination by Linear Probes","John Westwater"
"On Markovian Spatial Arrival Processes for the Performance Analysis of Mobile Communication Networks","Dieter Baum"
"Convolution Algorithms for BMAP/G/1-Queues","Dieter Baum"
"tele-TASK - Teleteaching Anywhere Solution Kit","Christoph Meinel"
"tele-TASK - Teleteaching Anywhere Solution Kit","Volker Schillings"
"A QQP-Minimization Method for Semidefinite and Smooth Nonconvex Programs","Florian Jarre"
"On the Complexity of Constructing Optimal OBDD's","Christoph Meinel"
"On the Complexity of Constructing Optimal OBDD's","Anna Slobodová"
"Numerical Solution of Control Problems under Uncertainty and Perturbation of Input Data with Applications in Finance","Rainer Tichatschke"
"Numerical Solution of Control Problems under Uncertainty and Perturbation of Input Data with Applications in Finance","Alexander Kaplan"
"Numerical Solution of Control Problems under Uncertainty and Perturbation of Input Data with Applications in Finance","Tim Voetmann"
"Numerical Solution of Control Problems under Uncertainty and Perturbation of Input Data with Applications in Finance","M. Böhm"
"Structured PSB-Update for Optimal Shape Design Problems","Manfred Laumen"
"Räumliche Markov-additive Prozesse und Bedienstationen ohne Warteraum","Dieter Baum"
"Fast Generation of Random Permutations via Networks Simulation","Artur Czumaj"
"Fast Generation of Random Permutations via Networks Simulation","Przemyslawa Kanarek"
"Fast Generation of Random Permutations via Networks Simulation","Miroslaw Kutylowski"
"Fast Generation of Random Permutations via Networks Simulation","Krzysztof Lorys"
"Approximation Results for Wavelength Routing in Directed Binary Trees","Klaus Jansen"
"Condensing Tensor Product Modules","Klaus Lux"
"Condensing Tensor Product Modules","Markus Wiegelmann"
"A Comparison of Numerical Methods for Optimal Shape Design Problems","Manfred Laumen"
"Interprocedural Analysis Based on PDAs","Helmut Seidl"
"Interprocedural Analysis Based on PDAs","Christian Fecht"
"Scheduling of Conditional Executed Jobs","Klaus Jansen"
"Mod-2-OBDD's: A Generalization of OBDD's and EXOR-Sum-of-Products","Jordan Gergov"
"Mod-2-OBDD's: A Generalization of OBDD's and EXOR-Sum-of-Products","Christoph Meinel"
"A Heuristic for (+)-OBDD Minimization","Christoph Meinel"
"A Heuristic for (+)-OBDD Minimization","Harald Sack"
"Complete Families of Invariant Distributions","Harald Luschgy"
"Numerical Solution of a Semilinear Parabolic Control Problem","Matthias Heinkenschloss"
"Structural Gröbner Basis Detection","Bernd Sturmfels"
"Structural Gröbner Basis Detection","Markus Wiegelmann"
"A Fast and Robust Algorithm for a Class of Generalized Fractional Programs","Martin Gugat"
"Do We Really Need Common Variable Orders for Synthesizing OBDDs?","Christoph Meinel"
"Do We Really Need Common Variable Orders for Synthesizing OBDDs?","Harald Sack"
"Do We Really Need Common Variable Orders for Synthesizing OBDDs?","Christian Stangier"
"Do We Really Need Common Variable Orders for Synthesizing OBDDs?","Arno Wagner"
"Lagrange-Duality and Partitioning Techniques in Nonconvex Global Optimization","Mirjam Dür"
"Lagrange-Duality and Partitioning Techniques in Nonconvex Global Optimization","Reiner Horst"
"Two Program Comprehension Tools for Automatic Parallelization: A Comparative Study","Beniamino Di Martino"
"Two Program Comprehension Tools for Automatic Parallelization: A Comparative Study","Christoph W. Keßler"
"Implement Role-Based Access Control with Attribute Certificates","Wei Zhou 0006"
"Implement Role-Based Access Control with Attribute Certificates","Christoph Meinel"
"Convergence of Time-Continous Disturbed Martingales and Financial Market Modelling","Richard Rödler"
"Approximate Analysis of Multi-Queue Stations with 1-Limited Service","Dieter Baum"
"Circuit and Decision Tree Complexity of Some Number Theoretic Problems","Anna Bernasconi 0001"
"Circuit and Decision Tree Complexity of Some Number Theoretic Problems","Carsten Damm"
"Circuit and Decision Tree Complexity of Some Number Theoretic Problems","Igor E. Shparlinski"
"A Decomposition Algorithm for Optimization over Efficient Sets","Reiner Horst"
"A Decomposition Algorithm for Optimization over Efficient Sets","Le Dung Muu"
"A Decomposition Algorithm for Optimization over Efficient Sets","Nguyen V. Thoai"
"Scheduling Expression DAGs for Minimal Register Need","Christoph W. Keßler"
"On the Queue-Length-Distributions of the E","Kasyap Natarajan"
"On Generic One-Parametric Semi-Infinite Optimization","Hubertus Th. Jongen"
"On Generic One-Parametric Semi-Infinite Optimization","Oliver Stein"
"A Branch-and-Bound Decomposition Approach for Solving Quasiconvex-Concave Programs","Reiner Horst"
"A Branch-and-Bound Decomposition Approach for Solving Quasiconvex-Concave Programs","Le Dung Muu"
"A Branch-and-Bound Decomposition Approach for Solving Quasiconvex-Concave Programs","M. Nast"
"Approximating Semi-Markov Processes by MAPs, with an Application on Queueing Theory","Lothar Breuer"
"Newton's Method for a Class of Optimal Shape Design Problems","Manfred Laumen"
"A Generic Background Dissemination Service for Mobile Ad-Hoc Networks","Hannes Frey"
"A Generic Background Dissemination Service for Mobile Ad-Hoc Networks","Johannes K. Lehnert"
"A Generic Background Dissemination Service for Mobile Ad-Hoc Networks","Daniel Görgen"
"A Generic Background Dissemination Service for Mobile Ad-Hoc Networks","Peter Sturm 0001"
"Complexity Results for the Optimum Cost Chromatic Partition Problem","Klaus Jansen"
"Personal Name Matching: New Test Collections and a Social Network based Approach.","Patrick Reuther"
"Utility Function Programs and Optimization over the Efficient Set in Multiple Objective Decision Making","Reiner Horst"
"Utility Function Programs and Optimization over the Efficient Set in Multiple Objective Decision Making","Nguyen V. Thoai"
"On Local Convex Majorizing Approximations of Generalized Semi-Infinite Programming Problems","E. Levitin"
"Structured Quasi-Newton Methods for Optimization Problems in Hilbert Space","Jürgen Huschens"
"Computation of PODs for Fluid Flows with Lanczos Methods","Marco Fahl"
"Unambiguity of SMGL Content Models - Pushdown Automata Revisited","Andreas Neumann 0001"
"Global Optimization Techniques for Solving the General Quadratic Integer Programming Problem","Nguyen V. Thoai"
"Ordered Binary Decision Diagrams in Electronic Design Automation","Randal E. Bryant"
"Ordered Binary Decision Diagrams in Electronic Design Automation","Christoph Meinel"
"Simultaneous Pseudo-Timestepping for PDE-model Based Optimization Problems","Subhendu Bikash Hazra"
"Simultaneous Pseudo-Timestepping for PDE-model Based Optimization Problems","Volker Schulz 0001"
"Mod-p Decision Diagrams: A Data Structure for Multiple-Valued Functions.","Harald Sack"
"Mod-p Decision Diagrams: A Data Structure for Multiple-Valued Functions.","Elena Dubrova"
"Mod-p Decision Diagrams: A Data Structure for Multiple-Valued Functions.","Christoph Meinel"
"On the Numerical Simulation of Bingham Fluid Flows Using Prox-Regularization","Horst Schmitt"
"Zur strukturellen Stabilität von Kommunikationssystemen - Eine kurze Einführung in die Grundlagen","Dieter Baum"
"Increasing Efficiency of Symbolic Model Checking by Accelerating Dynamic Variable Reordering","Christoph Meinel"
"Increasing Efficiency of Symbolic Model Checking by Accelerating Dynamic Variable Reordering","Christian Stangier"
"Customer Motion in Queueing Models: The Use of Tangent Vector Fields","Dieter Baum"
"External Tangents and Closedness of Cone + Subspace","Peter Gritzmann"
"External Tangents and Closedness of Cone + Subspace","Victor Klee"
"Block-Restricted Reordering - Extended Experiments","Christoph Meinel"
"Block-Restricted Reordering - Extended Experiments","Anna Slobodová"
"Block-Restricted Reordering - Extended Experiments","Peter Willems"
"On Graph Models for Communicating Mobiles in Access Areas","Dieter Baum"
"On Graph Models for Communicating Mobiles in Access Areas","Igor N. Kovalenko"
"On the Reconstruction of Binary Images from Their Discrete Radon Transforms","R. J. Gardner"
"On the Reconstruction of Binary Images from Their Discrete Radon Transforms","Peter Gritzmann"
"On the Reconstruction of Binary Images from Their Discrete Radon Transforms","Dieter Prangenberg"
"On the Complexity of some Basic Problems in Computational Convexity: 1. Containment Problems","Peter Gritzmann"
"On the Complexity of some Basic Problems in Computational Convexity: 1. Containment Problems","Victor Klee"
"Linearly Constrained Global Minimization of Functions with Concave Minorants","Reiner Horst"
"Linearly Constrained Global Minimization of Functions with Concave Minorants","M. Nast"
"Stochastic Simulation of Markov Modulated Finite-Source Queues","János Sztrik"
"Stochastic Simulation of Markov Modulated Finite-Source Queues","Oliver Möller"
"Complexity Classes with Finite Acceptance Types","Ulrich Hertrampf"
"WWW.BDD-PORTAL.ORG: An Experimentation Platform for Binary Decision Diagram Algorithms","Christoph Meinel"
"WWW.BDD-PORTAL.ORG: An Experimentation Platform for Binary Decision Diagram Algorithms","Harald Sack"
"WWW.BDD-PORTAL.ORG: An Experimentation Platform for Binary Decision Diagram Algorithms","Arno Wagner"
"Neue Ergebnisse für BMAPs und räumliche Warteschlangen","Lothar Breuer"
"Stochastic Modeling of Server Capacity Utilization by Geometric Sums","Richard Rödler"
"tele-TASK - Teleteaching praxistauglich für den Universitätsalltag","Christoph Meinel"
"tele-TASK - Teleteaching praxistauglich für den Universitätsalltag","Volker Schillings"
"Polytope Projection and Projection Polytopes","Thomas Burger"
"Polytope Projection and Projection Polytopes","Peter Gritzmann"
"Polytope Projection and Projection Polytopes","Victor Klee"
"Proximal Methods in View of Interior-Point-Strategies","Alexander Kaplan"
"Proximal Methods in View of Interior-Point-Strategies","Rainer Tichatschke"
"Some Heuristics for Generating Tree-like FBDD Types","Jochen Bern"
"Some Heuristics for Generating Tree-like FBDD Types","Christoph Meinel"
"Some Heuristics for Generating Tree-like FBDD Types","Anna Slobodová"
"Propagating Differences: An Efficient New Fixpoint Algorithm for Distributive Constraint Systems","Helmut Seidl"
"Propagating Differences: An Efficient New Fixpoint Algorithm for Distributive Constraint Systems","Christian Fecht"
"Global Convergence of Inexact Reduced SQP Methods","Heidi Jäger"
"Global Convergence of Inexact Reduced SQP Methods","Ekkehard W. Sachs"
"Scheduling of Virtual Connections in Fast Networks","Thomas Erlebach"
"Scheduling of Virtual Connections in Fast Networks","Klaus Jansen"
"A LMI-Based Algorithm for Designing Suboptimal Static H","Friedemann Leibfritz"
"Discrete Tomography: Determination of Finite Sets by X-Rays","R. J. Gardner"
"Discrete Tomography: Determination of Finite Sets by X-Rays","Peter Gritzmann"
"On Markov-Additive Jump Processes","Lothar Breuer"
"Determination of Socle Series using the Condensation Method","Klaus Lux"
"Determination of Socle Series using the Condensation Method","Markus Wiegelmann"
"Minkowski Addition of Polytopes: Computational Complexity and Applications to Gröbner Bases","Peter Gritzmann"
"Minkowski Addition of Polytopes: Computational Complexity and Applications to Gröbner Bases","Bernd Sturmfels"
"Succinct Solvers","Flemming Nielson"
"Succinct Solvers","Helmut Seidl"
"Interior Proximal Method for Variational Inequalities: Case of Non-paramonotone Operators","Alexander Kaplan"
"Interior Proximal Method for Variational Inequalities: Case of Non-paramonotone Operators","Rainer Tichatschke"
"An Optimal Greedy Algorithm for Wavelength Allocation in Directed Tree Networks","Thomas Erlebach"
"An Optimal Greedy Algorithm for Wavelength Allocation in Directed Tree Networks","Klaus Jansen"
"On Product Connection Theorems for Markov Chains","Dieter Baum"
"On Product Connection Theorems for Markov Chains","Gurami Tsitsiashvili"
"The WWW meets EDA: Usability evaluation of OBDD-heuristics via the Internet","Christoph Meinel"
"The WWW meets EDA: Usability evaluation of OBDD-heuristics via the Internet","Arno Wagner"
"A Decomposition Approach for the Global Minimization of Biconcave Functions over Polytopes","Reiner Horst"
"A Decomposition Approach for the Global Minimization of Biconcave Functions over Polytopes","Nguyen V. Thoai"
"Optimal Control of Thermally Coupled Navier-Stokes Equations in Food Industry","Patrick Justen"
"Application Driven Variable Reordering and an Example in Reachability Analysis","Christoph Meinel"
"Application Driven Variable Reordering and an Example in Reachability Analysis","Klaus Schwettmann"
"Application Driven Variable Reordering and an Example in Reachability Analysis","Anna Slobodová"
"Convergent Outer Approximation Algorithms for Solving Unary Problems","Reiner Horst"
"Convergent Outer Approximation Algorithms for Solving Unary Problems","Ulrich Raber"
"Linear Sifting of Decision Diagrams","Christoph Meinel"
"Linear Sifting of Decision Diagrams","Fabio Somenzi"
"Linear Sifting of Decision Diagrams","Thorsten Theobald"
"A Branch and Bound Approach for Solving a Class of Generalized Semi-Infinite Programming Problems","E. Levitin"
"A Branch and Bound Approach for Solving a Class of Generalized Semi-Infinite Programming Problems","Rainer Tichatschke"
"Approximation Results for the Optimum Cost Chromatic Partition Problem","Klaus Jansen"
"Convergence Results on Proximal Method of Multipliers in Nonconvex Programming","Abdelouahed Hamdi"
"On the Complexity of Tensor Formulae","Carsten Damm"
"An EM Algorithm for Platoon Arrival Processes in Discrete Time","Attahiru Sule Alfa"
"An EM Algorithm for Platoon Arrival Processes in Discrete Time","Lothar Breuer"
"On the Solution of a Two Ball Trust Region Subproblem","Matthias Heinkenschloss"
"On Multiplicative Structure in Quasi-Newton Methods for Nonlinear Equations","Jürgen Huschens"
"State Encodings and OBDD-Sizes","Thorsten Theobald"
"State Encodings and OBDD-Sizes","Christoph Meinel"
"Functional Quantization and Small Ball Probabilities for Gaussian Processes","Siegfried Graf"
"Functional Quantization and Small Ball Probabilities for Gaussian Processes","Harald Luschgy"
"Parallel versus Sequential Task-Processing: A New Performance Model in Discrete Time","Jens Hofmann 0001"
"Parallel versus Sequential Task-Processing: A New Performance Model in Discrete Time","Norbert Th. Müller"
"Parallel versus Sequential Task-Processing: A New Performance Model in Discrete Time","Kasyap Natarajan"
"On the G/GE/1 Queue","Kasyap Natarajan"
"Generalized Semi-Infinite Optimization: A First Order Optimality Condition and Examples","Hubertus Th. Jongen"
"Generalized Semi-Infinite Optimization: A First Order Optimality Condition and Examples","Jan-J. Rückmann"
"Generalized Semi-Infinite Optimization: A First Order Optimality Condition and Examples","Oliver Stein"
"On a Weak Norm Based Prox-Regularization Method","Horst Schmitt"
"One Strike Against the Min-Max Degree Triangulation Problem","Klaus Jansen"
"10 Jahre ECCC - Eine Digitale Bibliothek in weltweiter Benutzung","Volker Klotz"
"10 Jahre ECCC - Eine Digitale Bibliothek in weltweiter Benutzung","Christoph Meinel"
"Locating Matches of Tree Patterns in Forests","Andreas Neumann 0001"
"Locating Matches of Tree Patterns in Forests","Helmut Seidl"
"Convergence of Generalized Supermartingales with Continous Parameter","Richard Rödler"
"Proximal Interior Point Approach for Solving Convex Semi-infinite Programming Problems","Alexander Kaplan"
"Proximal Interior Point Approach for Solving Convex Semi-infinite Programming Problems","Rainer Tichatschke"
"A Note on Spectral Lower Bound Arguments for Decision Trees","Carsten Damm"
"Optimal Allocation of Jobs between Heterogeneous Servers in the Retrial MAP/PH/K Queue","Dimitri Efrosinin"
"Optimal Allocation of Jobs between Heterogeneous Servers in the Retrial MAP/PH/K Queue","Lothar Breuer"
"Optimal Allocation of Jobs between Heterogeneous Servers in the Retrial MAP/PH/K Queue","Vladimir Rykov"
"Scheduling with Incompatible Jobs","Hans L. Bodlaender"
"Scheduling with Incompatible Jobs","Klaus Jansen"
"Scheduling with Incompatible Jobs","Gerhard J. Woeginger"
"The BMAP/G/1 Queue with Level Dependent Arrivals and its Stationary Distribution","Jens Hofmann 0001"
"Stochastic Constraint Aggregation Method for Convex Semi-Infinite Problems","Michael Ruvimovich Davidson"
"A Lagrangian Method for Solving the Optimal Output Feedback Design Problem","El-Sayed M. E. Mostafa"
"A Lagrangian Method for Solving the Optimal Output Feedback Design Problem","Ekkehard W. Sachs"
"Upper and Lower Bounds for Certain Graph-Accessability-Problems on Bounded Alternating (omega)-Branching Programs","Christoph Meinel"
"Upper and Lower Bounds for Certain Graph-Accessability-Problems on Bounded Alternating (omega)-Branching Programs","Stephan Waack"
"Efficient OBDD-Based Boolean Manipulation in CAD Beyond Current Limits","Jochen Bern"
"Efficient OBDD-Based Boolean Manipulation in CAD Beyond Current Limits","Christoph Meinel"
"Efficient OBDD-Based Boolean Manipulation in CAD Beyond Current Limits","Anna Slobodová"
"Forward and Inverse Problems in Modeling of Multiphase Flow and Transport Through Heterogeneos Porous Media","Subhendu Bikash Hazra"
"Forward and Inverse Problems in Modeling of Multiphase Flow and Transport Through Heterogeneos Porous Media","Holger Class"
"Forward and Inverse Problems in Modeling of Multiphase Flow and Transport Through Heterogeneos Porous Media","Rainer Helmig"
"Forward and Inverse Problems in Modeling of Multiphase Flow and Transport Through Heterogeneos Porous Media","Volker Schulz 0001"
"On the Rareness of Disturbed Martingales in the Class of all Uniformly L","Richard Rödler"
"A Tool for Simulation of Markov Modulated Finite-Source Queueing Systems","János Sztrik"
"A Tool for Simulation of Markov Modulated Finite-Source Queueing Systems","Oliver Möller"
"Symmetric Functions in AC","Carsten Damm"
"Symmetric Functions in AC","Katja Lenz"
"On the Algorithmic Complexity of Minkowski's Reconstruction Theorem","Peter Gritzmann"
"On the Algorithmic Complexity of Minkowski's Reconstruction Theorem","Alexander Hufnagel"
"Integrating Synchronous and Asynchronous Paradigms: The Fork95 Parallel Programming Language","Christoph W. Keßler"
"Integrating Synchronous and Asynchronous Paradigms: The Fork95 Parallel Programming Language","Helmut Seidl"
"Algorithmic Considerations for +-OBDD Reordering.","Christoph Meinel"
"Algorithmic Considerations for +-OBDD Reordering.","Harald Sack"
"Model-Checking for L","Helmut Seidl"
"Auxiliary Problem Principle and Proximal Point Methods","Alexander Kaplan"
"Auxiliary Problem Principle and Proximal Point Methods","Rainer Tichatschke"
"Largest j-Simplices in n-Polytopes","Peter Gritzmann"
"Largest j-Simplices in n-Polytopes","Victor Klee"
"Largest j-Simplices in n-Polytopes","David G. Larman"
"The Complexity of Detecting Crossingfree Configurations in the Plane","Klaus Jansen"
"The Complexity of Detecting Crossingfree Configurations in the Plane","Gerhard J. Woeginger"
"The Infinite Server Queue with Markov Additive Arrivals in Space","Dieter Baum"
"Weak Error Tolerance Criterion in Generalized Proximal Methods","Alexander Kaplan"
"Weak Error Tolerance Criterion in Generalized Proximal Methods","Rainer Tichatschke"
"Modular Partitioning for Improvement of Image Computation","Christoph Meinel"
"Modular Partitioning for Improvement of Image Computation","Christian Stangier"
"A Rainbow about T-Colorings for Complete Graphs","Klaus Jansen"
"Convergence Rate of the Augmented Lagrangian SQP Method","D. Kleis"
"Convergence Rate of the Augmented Lagrangian SQP Method","Ekkehard W. Sachs"
"Integrating Scalable Parallel Libraries and Automatically Parallelizing Compilers","Christoph W. Keßler"
"Generalized Coloring for Tree-like Graphs","Klaus Jansen"
"Generalized Coloring for Tree-like Graphs","Petra Scheffler"
"Reduction of Generalized Semi-Infinite Programming Problems to Semi-Infinite or Piece-Wise Smooth Programming Problems","E. Levitin"
"Proximal Interior Point Approach in Convex Programming","Alexander Kaplan"
"Proximal Interior Point Approach in Convex Programming","Rainer Tichatschke"
"Numerical Parameter Identification in Non-isothermal Multiphase Multicomponent Flow through Porous Media","Subhendu Bikash Hazra"
"Numerical Parameter Identification in Non-isothermal Multiphase Multicomponent Flow through Porous Media","Volker Schulz 0001"
"Regularized Penalty Method for Parabolic Optimal Control Problems","Alexander Kaplan"
"Regularized Penalty Method for Parabolic Optimal Control Problems","Rainer Tichatschke"
"On the Acceptance Power of Groups and Semigroups","Ulrich Hertrampf"
"A Unifying Theoretical Background for Some BDD-based Data Structures","Christoph Meinel"
"A Unifying Theoretical Background for Some BDD-based Data Structures","Anna Slobodová"
"Non-quadratic Proximal Regularization with Application to Variational Inequalities in Hilbert Spaces","Alexander Kaplan"
"Non-quadratic Proximal Regularization with Application to Variational Inequalities in Hilbert Spaces","Rainer Tichatschke"
"On Communication Games with More than Two Players","Stasys Jukna"
"TI-jPACS - eine frei verfügbare leistungsfähige Plattform zur medizinischen Bildverarbeitung und -visualisierung","Mikail Gevantmakher"
"TI-jPACS - eine frei verfügbare leistungsfähige Plattform zur medizinischen Bildverarbeitung und -visualisierung","Christoph Meinel"
"Computational Design of Optimal Output Feedback Controllers","Tankred Rautert"
"Computational Design of Optimal Output Feedback Controllers","Ekkehard W. Sachs"
"One Step Further: Integrating Electronic Submission and the Reviewing Process","Jochen Bern"
"One Step Further: Integrating Electronic Submission and the Reviewing Process","Christoph Meinel"
"Efficient Analysis and Manipulation of OBDDs can be Extended to Read-once-only Branching Programs","Jordan Gergov"
"Efficient Analysis and Manipulation of OBDDs can be Extended to Read-once-only Branching Programs","Christoph Meinel"
"Performance Analysis of SDN Specific Error Procedures: Comparison of Step-by-Step and End-to-End Schemes","Dieter Baum"
"Performance Analysis of SDN Specific Error Procedures: Comparison of Step-by-Step and End-to-End Schemes","Luciano Lenzini"
"Reduction of Some Optimal Control Problems with Variational Inequalities to Ill-Posed Optimal Control Problems with Linear State Equations","S. Rotin"
"On Approximate Solution Methods for Multi-Queue Systems with 1-Limited Deterministic Service","Dieter Baum"
"Global Rebuilding of OBDD's - Tunneling Memory Requirement Maxima","Jochen Bern"
"Global Rebuilding of OBDD's - Tunneling Memory Requirement Maxima","Christoph Meinel"
"Global Rebuilding of OBDD's - Tunneling Memory Requirement Maxima","Anna Slobodová"
"On the Use of Product Structure in Secant Methods for Nonlinear Least Squares Problems","Jürgen Huschens"
"Ein Newtonverfahren zur zeitoptimalen Vibrationsdämpfung","Martin Gugat"
"Product Form Solutions for Closed Synchronized Systems of Stochastic Sequential Processes","Dirk Frosch"
"Optimal Static Output Feedback Design By Using a Trust Region Interior Point Method","Friedemann Leibfritz"
"Optimal Static Output Feedback Design By Using a Trust Region Interior Point Method","El-Sayed M. E. Mostafa"
"The SPARAMAT Approach to Automatic Comprehension of Sparse Matrix Computations","Christoph W. Keßler"
"The SPARAMAT Approach to Automatic Comprehension of Sparse Matrix Computations","Helmut Seidl"
"The SPARAMAT Approach to Automatic Comprehension of Sparse Matrix Computations","Craig Smith"
"No-Waiting Stations with Special Arrival Processes and Customer Motion","Dieter Baum"
"No-Waiting Stations with Special Arrival Processes and Customer Motion","Vladimir V. Kalashnikov"
"Ein Faltungskalkül für Matrizenfolgen und verallgemeinerte Poisson-Gruppenprozesse","Dieter Baum"
"Proximal Methods: Decomposition and Selection","N. Lehdili"
"Proximal Methods: Decomposition and Selection","C. Ould Ahmed Salem"
"IDDS: An Interactive Decentallzed Documentation System","Christoph Meinel"
"IDDS: An Interactive Decentallzed Documentation System","Harald Sack"
