"title","type","publisher","journal","month","year","language","booktitle","volume","pages","ee" 
"The Future of Classic Data Administration: Objects + Databases + CASE","inproceedings","","","",2015,"","SWEE","","","http://www.mitre.org/support/swee/rosenthal.html"
"Normalized Data Base Structure: A Brief Tutorial.","article","","Research Report / RJ / IBM / San Jose, California","November",2017,"","","RJ935","",""
"Seven Steps to Rendezvous with the Casual User.","inproceedings","","","January",2010,"","IFIP Working Conference Data Base Management","","179-200",""
"Relational Completeness of Data Base Sublanguages.","article","","Research Report / RJ / IBM / San Jose, California","March",2006,"","","RJ987","",""
"DB&LP: A WWW Bibliography on Databases and Logic Programming","article","","Compulog Newsletter","",2016,"","","","",""
"Interactive Support for Non-Programmers: The Relational and Network Approaches.","article","","Research Report / RJ / IBM / San Jose, California","June",2013,"","","RJ1400","",""
"Data Base Sublanguage Founded on the Relational Calculus.","article","","Research Report / RJ / IBM / San Jose, California","July",2010,"","","RJ893","",""
"Catchment classification by runoff behaviour with self-organizing maps (SOM)","article","","Hydrology and Earth System Sciences","",2022,"french","","15","2947-2962","https://doi.org/10.5194/hess-15-2947-2011"
"Lions' Commentary on UNIX 6th Edition, with Source Code","book","Peer-to-Peer Communications","","",1990,"","","","","https://www.wikidata.org/entity/Q493858"
"Common Subexpression Identification in General Algebraic Systems.","article","","Technical Rep. UKSC 0060, IBM United Kingdom Scientific Centre","November",2022,"","","","",""
"Further Normalization of the Data Base Relational Model.","article","","Research Report / RJ / IBM / San Jose, California","August",2021,"","","RJ909","",""
"Derivability, Redundancy and Consistency of Relations Stored in Large Data Banks.","article","","Research Report / RJ / IBM / San Jose, California","August",2019,"","","RJ599","",""
"Principles of Distributed Object Database Languages.","article","","ETH Zurich, Department of Computer Science / Technical Report","July",2010,"","","248","1-27","https://doi.org/10.3929/ethz-a-006651652"
"The Capabilities of Relational Database Management Systems.","article","","Research Report / RJ / IBM / San Jose, California","May",2001,"","","RJ3132","",""
"Analysis of projected hydrological behavior of catchments based on signature indices","article","","Hydrology and Earth System Sciences","",2020,"english","","16","409-421","https://doi.org/10.5194/hess-16-409-2012"
"Portierung des DBLP-Systems auf ein relationales Datenbanksystem und Evaluation der Performance.","mastersthesis","","","",2019,"","","","","http://dbis.uni-trier.de/Diplomanden/Vollmer/vollmer.shtml"
"Who's Who in the World Wide Web: Approaches to Name Disambiguation","mastersthesis","","","",2009,"","","","","http://www.pms.ifi.lmu.de/publikationen/diplomarbeiten/Vanessa.Klaas/thesis.pdf"
"PRPL: A Database Workload Specification Language, v1.3.","mastersthesis","","","",2011,"english","","","",""
"Efficient View Maintenance at Data Warehouses.","mastersthesis","","","",1997,"","","","",""
"Der Einfluss kleiner naturnaher Retentionsmaßnahmen in der Fläche auf den Hochwasserabfluss - Kleinrückhaltebecken -.","mastersthesis","","","",1994,"","","","","http://dblp.uni-trier.de/papers/DiplomarbeitRitaLey.pdf"
"Regelbasierte Extraktion und asymmetrische Fusion bibliographischer Informationen.","mastersthesis","","","",2020,"","","","","http://dblp.uni-trier.de/papers/DiplomarbeitOliverHoffmann.pdf"
"Ear Shape for Biometric Identification.","incollection","","","",2003,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","372-378","https://doi.org/10.1007/978-1-4419-5906-5_738"
"ARP Poisoning.","incollection","","","","2011","italian","Encyclopedia of Cryptography and Security (2nd Ed.)","","47","https://doi.org/10.1007/978-1-4419-5906-5_1000"
"Token.","incollection","","","",2017,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1305-1306","https://doi.org/10.1007/978-1-4419-5906-5_309"
"Multi-Threaded Implementation for Cryptography and Cryptanalysis.","incollection","","","",2021,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","823-824","https://doi.org/10.1007/978-1-4419-5906-5_439"
"Privacy-Preserving Authentication in Wireless Access Networks.","incollection","","","",2019,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","972-974","https://doi.org/10.1007/978-1-4419-5906-5_51"
"Issuer.","incollection","","","",2015,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","650","https://doi.org/10.1007/978-1-4419-5906-5_290"
"Malware.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","750","https://doi.org/10.1007/978-1-4419-5906-5_1320"
"Private Key Cryptosystem.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","976","https://doi.org/10.1007/978-1-4419-5906-5_1139"
"Multicast Stream Authentication.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","808","https://doi.org/10.1007/978-1-4419-5906-5_1099"
"Personal Identification Number (PIN).","incollection","","","",2022,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_299"
"Differential-Linear Attack.","incollection","","","",2015,"afrikaans","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_109"
"Existential Forgery.","incollection","","","",1982,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","433-434","https://doi.org/10.1007/978-1-4419-5906-5_202"
"Entropy Sources.","incollection","","","",1998,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","421-423","https://doi.org/10.1007/978-1-4419-5906-5_201"
"Inversion in Galois Fields.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","632","https://doi.org/10.1007/978-1-4419-5906-5_1102"
"Naccache-Stern Higher Residues Cryptosystem.","incollection","","","",2022,"afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","829","https://doi.org/10.1007/978-1-4419-5906-5_893"
"Blum-Goldwasser Public Key Encryption System.","incollection","","","",1989,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_38"
"Field.","incollection","","","",2014,"italian","Encyclopedia of Cryptography and Security (2nd Ed.)","","458","https://doi.org/10.1007/978-1-4419-5906-5_407"
"Relatively Prime.","incollection","","","",2022,"afrikaans","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_351"
"Alphabet.","incollection","","","",2018,"french","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_10"
"Electronic Cheque.","incollection","","","",2018,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_122"
"CLEFIA.","incollection","","","",2022,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","210-211","https://doi.org/10.1007/978-1-4419-5906-5_561"
"Higher Order Derivative Attack.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","556","https://doi.org/10.1007/978-1-4419-5906-5_1104"
"Biometrics in Video Surveillance.","incollection","","","",2010,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","139-142","https://doi.org/10.1007/978-1-4419-5906-5_733"
"Extension Field.","incollection","","","",2014,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_151"
"Logic Bomb.","incollection","","","",2013,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","734","https://doi.org/10.1007/978-1-4419-5906-5_708"
"Trust Management.","incollection","","","",2020,"french","Encyclopedia of Cryptography and Security (2nd Ed.)","","1320-1323","https://doi.org/10.1007/978-1-4419-5906-5_832"
"Threshold Cryptography.","incollection","","","",2009,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_428"
"Oblivious Transfer.","incollection","","","",2002,"french","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_285"
"Running-Key.","incollection","","","",1987,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1073","https://doi.org/10.1007/978-1-4419-5906-5_368"
"Unlinkability.","incollection","","","",1985,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1350","https://doi.org/10.1007/978-1-4419-5906-5_236"
"Legendre Symbol.","incollection","","","",2010,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","716","https://doi.org/10.1007/978-1-4419-5906-5_418"
"Computationally Sound Proof System.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","245","https://doi.org/10.1007/978-1-4419-5906-5_1198"
"Code Verification.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","215","https://doi.org/10.1007/978-1-4419-5906-5_1370"
"Niederreiter Encryption Scheme.","incollection","","","",2005,"french","Encyclopedia of Cryptography and Security (2nd Ed.)","","842-843","https://doi.org/10.1007/978-1-4419-5906-5_385"
"TWIRL.","incollection","","","",2013,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1338-1339","https://doi.org/10.1007/978-1-4419-5906-5_483"
"Near Field Communication.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","829","https://doi.org/10.1007/978-1-4419-5906-5_1080"
"Camellia.","incollection","","","",1978,"english","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_44"
"Theorem Proving and Security.","incollection","","","",2005,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1285-1287","https://doi.org/10.1007/978-1-4419-5906-5_869"
"Secure Wireless Mesh Networks.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1143","https://doi.org/10.1007/978-1-4419-5906-5_1194"
"User Verification Method.","incollection","","","",2022,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1352","https://doi.org/10.1007/978-1-4419-5906-5_311"
"Administrative Policies.","incollection","","","",2022,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","21-23","https://doi.org/10.1007/978-1-4419-5906-5_808"
"ISMS: A Management Framework for Information Security.","incollection","","","",1998,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","647-648","https://doi.org/10.1007/978-1-4419-5906-5_289"
"Pretty Good Privacy (PGP).","incollection","","","",2003,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_310"
"Kerberos Authentication Protocol.","incollection","","","",2005,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_216"
"Anonymous Web Browsing and Publishing.","incollection","","","",2020,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","40-42","https://doi.org/10.1007/978-1-4419-5906-5_649"
"Verifiable Encryption.","incollection","","","",1996,"french","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_451"
"Structural Cryptanalysis.","incollection","","","",2014,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_415"
"2","incollection","","","",2001,"french","Encyclopedia of Cryptography and Security (2nd Ed.)","","1340-1341","https://doi.org/10.1007/978-1-4419-5906-5_48"
"Commercial Off-the-Shelf.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","224","https://doi.org/10.1007/978-1-4419-5906-5_1394"
"Galois Message Authentication Code.","incollection","","","","2011","italian","Encyclopedia of Cryptography and Security (2nd Ed.)","","508","https://doi.org/10.1007/978-1-4419-5906-5_1191"
"Hard-Core Bit.","incollection","","","",2017,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_184"
"File System Permissions.","incollection","","","","2011","afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","458","https://doi.org/10.1007/978-1-4419-5906-5_1314"
"Vector Space.","incollection","","","",2013,"spanish","Encyclopedia of Cryptography and Security (2nd Ed.)","","1356","https://doi.org/10.1007/978-1-4419-5906-5_484"
"Multiset Attack.","incollection","","","",1997,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_269"
"Cryptology.","incollection","","","",2020,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_89"
"Software-Optimized Encryption Algorithm.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1229","https://doi.org/10.1007/978-1-4419-5906-5_1111"
"Biometric Information Ethics.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","98","https://doi.org/10.1007/978-1-4419-5906-5_1258"
"Privacy.","incollection","","","",1995,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_316"
"Semantic Security.","incollection","","","",1987,"italian","Encyclopedia of Cryptography and Security (2nd Ed.)","","1176-1177","https://doi.org/10.1007/978-1-4419-5906-5_23"
"Multibiometrics.","incollection","","","",2019,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","804-808","https://doi.org/10.1007/978-1-4419-5906-5_743"
"Public Key Proxy Signatures.","incollection","","","",1992,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","999-1001","https://doi.org/10.1007/978-1-4419-5906-5_218"
"Exponential Time.","incollection","","","",2015,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_149"
"Multiple Independent Levels of Security.","incollection","","","",2019,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","815-818","https://doi.org/10.1007/978-1-4419-5906-5_865"
"Knapsack cryptographic schemes.","incollection","","","",2017,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_223"
"Euler's Totient Function.","incollection","","","",2017,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","430","https://doi.org/10.1007/978-1-4419-5906-5_403"
"Decisional Diffie-Hellman Assumption.","incollection","","","",2020,"italian","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_99"
"Secure Network Coding for Wireless Mesh Networks.","incollection","","","",2001,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1123-1126","https://doi.org/10.1007/978-1-4419-5906-5_58"
"MDC-2 and MDC-4.","incollection","","","",2018,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","771-772","https://doi.org/10.1007/978-1-4419-5906-5_596"
"Security Architecture.","incollection","","","",2020,"french","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_377"
"AES.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","26","https://doi.org/10.1007/978-1-4419-5906-5_1207"
"Alberti Encryption.","incollection","","","",2021,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","29-31","https://doi.org/10.1007/978-1-4419-5906-5_159"
"Roles in SQL.","incollection","","","",2018,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1055-1057","https://doi.org/10.1007/978-1-4419-5906-5_685"
"Biometric Cryptosystem.","incollection","","","","2011","afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","90","https://doi.org/10.1007/978-1-4419-5906-5_1378"
"Index Calculus.","incollection","","","",2019,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_198"
"SSL.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1253","https://doi.org/10.1007/978-1-4419-5906-5_1042"
"Ntru.","incollection","","","",2005,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_279"
"Substitution-Permutation (SP) Network.","incollection","","","",1991,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1268","https://doi.org/10.1007/978-1-4419-5906-5_619"
"Summation generator.","incollection","","","",2018,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_421"
"TCP SYN Cookies.","incollection","","","","2011","afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","1283","https://doi.org/10.1007/978-1-4419-5906-5_1070"
"Rainbow Tables.","incollection","","","",2017,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1021-1022","https://doi.org/10.1007/978-1-4419-5906-5_219"
"Right-to-Left Exponentiation.","incollection","","","",2010,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1045-1046","https://doi.org/10.1007/978-1-4419-5906-5_43"
"Adaptive Chosen Plaintext and Chosen Ciphertext Attack.","incollection","","","",1992,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","21","https://doi.org/10.1007/978-1-4419-5906-5_544"
"Contract Signing.","incollection","","","",1996,"afrikaans","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_76"
"Availability.","incollection","","","",1983,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_22"
"Protection.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","988","https://doi.org/10.1007/978-1-4419-5906-5_1026"
"Web SSO and Security Assertion Markup Language.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1382","https://doi.org/10.1007/978-1-4419-5906-5_1393"
"Tempest.","incollection","","","",2006,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_427"
"Blum-Blum-Shub Pseudorandom Bit Generator.","incollection","","","",2019,"italian","Encyclopedia of Cryptography and Security (2nd Ed.)","","160-161","https://doi.org/10.1007/978-1-4419-5906-5_141"
"Smoothness.","incollection","","","",2016,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_406"
"Separation of Duties.","incollection","","","",2003,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1182-1185","https://doi.org/10.1007/978-1-4419-5906-5_830"
"GMR Signature.","incollection","","","",1990,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_176"
"Euclidean Lattice.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","430","https://doi.org/10.1007/978-1-4419-5906-5_1152"
"Access Structure.","incollection","","","",2015,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","20","https://doi.org/10.1007/978-1-4419-5906-5_313"
"NSS.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","857","https://doi.org/10.1007/978-1-4419-5906-5_1160"
"Authorizations.","incollection","","","",2008,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","65-68","https://doi.org/10.1007/978-1-4419-5906-5_810"
"SHA Family (Secure Hash Algorithm).","incollection","","","",2016,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_388"
"Universal One-Way Hash Functions.","incollection","","","",2014,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_447"
"Electronic Cash.","incollection","","","",2022,"spanish","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_121"
"Intellectual Property.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","618","https://doi.org/10.1007/978-1-4419-5906-5_1397"
"Smartcard tamper resistance.","incollection","","","",2014,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_404"
"Multiprecision Squaring.","incollection","","","",1975,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","821-822","https://doi.org/10.1007/978-1-4419-5906-5_40"
"SEPA.","incollection","","","",2014,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1181-1182","https://doi.org/10.1007/978-1-4419-5906-5_305"
"Algorithmic DoS.","incollection","","","",2021,"italian","Encyclopedia of Cryptography and Security (2nd Ed.)","","32-33","https://doi.org/10.1007/978-1-4419-5906-5_261"
"Electronic Check.","incollection","","","","2011","french","Encyclopedia of Cryptography and Security (2nd Ed.)","","387","https://doi.org/10.1007/978-1-4419-5906-5_1077"
"Stack (Buffer) Overrun.","incollection","","","","2011","italian","Encyclopedia of Cryptography and Security (2nd Ed.)","","1253","https://doi.org/10.1007/978-1-4419-5906-5_1173"
"Digital Steganography.","incollection","","","",2020,"italian","Encyclopedia of Cryptography and Security (2nd Ed.)","","348-352","https://doi.org/10.1007/978-1-4419-5906-5_317"
"Public Key Proxy Encryption.","incollection","","","",1983,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_333"
"Interactive Argument.","incollection","","","",1994,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_201"
"Social Perspectives on Information Privacy.","incollection","","","",1986,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1228-1229","https://doi.org/10.1007/978-1-4419-5906-5_903"
"Chosen Ciphertext Attack.","incollection","","","",2000,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","205","https://doi.org/10.1007/978-1-4419-5906-5_556"
"Voiceprint Recognition.","incollection","","","","2011","english","Encyclopedia of Cryptography and Security (2nd Ed.)","","1364","https://doi.org/10.1007/978-1-4419-5906-5_1277"
"HRU.","incollection","","","",1981,"afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","562-564","https://doi.org/10.1007/978-1-4419-5906-5_819"
"Signed Digit Exponentiation.","incollection","","","",2017,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1215-1216","https://doi.org/10.1007/978-1-4419-5906-5_44"
"Authorizations management.","incollection","","","",2003,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_19"
"Nonsecret Encryption.","incollection","","","",1993,"spanish","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_278"
"Group.","incollection","","","",2014,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","519-520","https://doi.org/10.1007/978-1-4419-5906-5_411"
"DAC.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","295","https://doi.org/10.1007/978-1-4419-5906-5_1328"
"RIPEMD Family.","incollection","","","",2010,"italian","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_360"
"Correlation Immune and Resilient Boolean Functions.","incollection","","","",2007,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_81"
"Certification Authority.","incollection","","","",2007,"afrikaans","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_53"
"Cryptosystem.","incollection","","","",2018,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","284-285","https://doi.org/10.1007/978-1-4419-5906-5_167"
"Modular Root.","incollection","","","",2022,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_260"
"Insider Threat Defense.","incollection","","","",1986,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","609-611","https://doi.org/10.1007/978-1-4419-5906-5_904"
"Fail-Stop Signature.","incollection","","","",1981,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","446-447","https://doi.org/10.1007/978-1-4419-5906-5_203"
"Biometric Systems Evaluation.","incollection","","","",2005,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","117-124","https://www.wikidata.org/entity/Q57840439"
"Biometric Passport Security.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","101","https://doi.org/10.1007/978-1-4419-5906-5_1016"
"TCP SYN Flooding.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1283","https://doi.org/10.1007/978-1-4419-5906-5_1071"
"Side-Channel Analysis.","incollection","","","",2003,"italian","Encyclopedia of Cryptography and Security (2nd Ed.)","","1198-1204","https://doi.org/10.1007/978-1-4419-5906-5_516"
"Cryptanalysis.","incollection","","","",2014,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_87"
"Biometric Recognition.","incollection","","","","2011","french","Encyclopedia of Cryptography and Security (2nd Ed.)","","104","https://doi.org/10.1007/978-1-4419-5906-5_1251"
"Authenticated Encryption.","incollection","","","",2018,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","52-61","https://doi.org/10.1007/978-1-4419-5906-5_548"
"PMAC.","incollection","","","",2021,"afrikaans","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_304"
"Secure Computer System Model.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1102","https://doi.org/10.1007/978-1-4419-5906-5_1336"
"Identity Proof.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","587","https://doi.org/10.1007/978-1-4419-5906-5_1301"
"Keyboard Dynamics.","incollection","","","",2016,"french","Encyclopedia of Cryptography and Security (2nd Ed.)","","688-691","https://doi.org/10.1007/978-1-4419-5906-5_783"
"Derived Key.","incollection","","","",2018,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","328","https://doi.org/10.1007/978-1-4419-5906-5_284"
"PKIX - Public Key Infrastructure (X.509).","incollection","","","",2011,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_302"
"Biometric Authentication.","incollection","","","",1979,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","86-90","https://doi.org/10.1007/978-1-4419-5906-5_775"
"DC Network.","incollection","","","",2005,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_97"
"Integrated Circuit Card.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","618","https://doi.org/10.1007/978-1-4419-5906-5_1075"
"Secure Hash Algorithm.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1116","https://doi.org/10.1007/978-1-4419-5906-5_1209"
"Payment Card.","incollection","","","",2016,"english","Encyclopedia of Cryptography and Security (2nd Ed.)","","918-919","https://doi.org/10.1007/978-1-4419-5906-5_296"
"Random Bit Generator.","incollection","","","",2011,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1022-1026","https://doi.org/10.1007/978-1-4419-5906-5_514"
"Rivest Cipher 5.","incollection","","","","2011","spanish","Encyclopedia of Cryptography and Security (2nd Ed.)","","1053","https://doi.org/10.1007/978-1-4419-5906-5_1201"
"Relay Attack.","incollection","","","",2012,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_352"
"Electronic Postage.","incollection","","","",2015,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","389-391","https://doi.org/10.1007/978-1-4419-5906-5_199"
"Encyclopedia of Cryptography and Security","book","Springer","","","2005","","","","","https://doi.org/10.1007/0-387-23483-7"
"Simultaneous Exponentiation.","incollection","","","",2008,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1218-1220","https://doi.org/10.1007/978-1-4419-5906-5_45"
"Proof of Knowledge Versus Proof of Membership.","incollection","","","",1977,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","983-984","https://doi.org/10.1007/978-1-4419-5906-5_10"
"Pseudoprime.","incollection","","","",2010,"afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","994-995","https://doi.org/10.1007/978-1-4419-5906-5_473"
"Encyclopedia of Cryptography and Security, 2nd Ed.","book","Springer","","","2011","","","","","https://doi.org/10.1007/978-1-4419-5906-5"
"Lattice Reduction.","incollection","","","",2021,"french","Encyclopedia of Cryptography and Security (2nd Ed.)","","711-713","https://doi.org/10.1007/978-1-4419-5906-5_457"
"Rivest Cipher 6.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1053","https://doi.org/10.1007/978-1-4419-5906-5_1203"
"Cayley Hash Functions.","incollection","","","",2020,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","183-184","https://doi.org/10.1007/978-1-4419-5906-5_126"
"Typing Patterns.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1343","https://doi.org/10.1007/978-1-4419-5906-5_1311"
"Number Field.","incollection","","","",2014,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","861","https://doi.org/10.1007/978-1-4419-5906-5_422"
"Maurer's Algorithm.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","762","https://doi.org/10.1007/978-1-4419-5906-5_1158"
"Authentication Token.","incollection","","","",1988,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","62-63","https://doi.org/10.1007/978-1-4419-5906-5_68"
"Computational Complexity.","incollection","","","",2006,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","235-240","https://doi.org/10.1007/978-1-4419-5906-5_442"
"Finite Field.","incollection","","","",2022,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","468","https://doi.org/10.1007/978-1-4419-5906-5_409"
