"citing","cited" 
"Standards für das Programmieren in Prolog für LILOG, Version 2.0","Perfect Forward Secrecy."
"Standards für das Programmieren in Prolog für LILOG, Version 2.0","Reverse Engineering of Malware Emulators."
"The Term Retrieval Abstract Machine","Computational Convexity"
"The Term Retrieval Abstract Machine","Smoothness."
"The Term Retrieval Abstract Machine","A Heuristic for (+)-OBDD Minimization"
"The Term Retrieval Abstract Machine","A Tool for Simulation of Markov Modulated Finite-Source Queueing Systems"
"The Term Retrieval Abstract Machine","Microdata Disclosure Limitation."
"The Term Retrieval Abstract Machine","Solitaire."
"Syntaktische Analysevorschläge zur Behandlung von lokalen Präfixverben in einem System für die Generierung von Wegbeschreibungen","Logisches Clustering von PROTOS-L Prozeduren"
"Syntaktische Analysevorschläge zur Behandlung von lokalen Präfixverben in einem System für die Generierung von Wegbeschreibungen","Location Privacy."
"Syntaktische Analysevorschläge zur Behandlung von lokalen Präfixverben in einem System für die Generierung von Wegbeschreibungen","Sliding Window Exponentiation."
"Syntaktische Analysevorschläge zur Behandlung von lokalen Präfixverben in einem System für die Generierung von Wegbeschreibungen","SYN Cookie Defense."
"Syntaktische Analysevorschläge zur Behandlung von lokalen Präfixverben in einem System für die Generierung von Wegbeschreibungen","Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype"
"Syntaktische Analysevorschläge zur Behandlung von lokalen Präfixverben in einem System für die Generierung von Wegbeschreibungen","FLL: A First-Order Language for Deductive Retrieval of Feature Terms"
"Syntaktische Analysevorschläge zur Behandlung von lokalen Präfixverben in einem System für die Generierung von Wegbeschreibungen","Lattice Reduction."
"Feature Constraint Logics for Unification Grammars","Transport Layer Security (TLS)."
"Feature Constraint Logics for Unification Grammars","DHP."
"Feature Constraint Logics for Unification Grammars","Secure Multiparty Computation."
"Feature Constraint Logics for Unification Grammars","Web Security Auditing."
"Feature Constraint Logics for Unification Grammars","Program Integrity Verification."
"Ein Transaktionskonzept für LILOG","NTRUSign."
"Ein Transaktionskonzept für LILOG","Implement Role-Based Access Control with Attribute Certificates"
"Ein Transaktionskonzept für LILOG","IPES."
"Ein Transaktionskonzept für LILOG","Data Linkage."
"Ein Transaktionskonzept für LILOG","Number Field Sieve for Factoring."
"Ein Transaktionskonzept für LILOG","Palmprint Authentication."
"Ein Transaktionskonzept für LILOG","Broadcast Authentication from an Information Theoretic Perspective."
"Ein Transaktionskonzept für LILOG","On the Numerical Simulation of Bingham Fluid Flows Using Prox-Regularization"
"Ein Transaktionskonzept für LILOG","Image Classification with Genetic Programming: Building a Stage 1 Computer Aided Detector for Breast Cancer."
"Disjunctive Unification","BMAP/G/1-Queues: Properties of the Fundamental-Period-Matrix G"
"Disjunctive Unification","Distributed Object Management Technology."
"Disjunctive Unification","Delivering Technology Enriched Health and Social Care: Policy Context for User Focused Research."
"Disjunctive Unification","XML-Based Access Control Languages."
"Disjunctive Unification","Legendre Symbol."
"Disjunctive Unification","Adapting to the User."
"Disjunctive Unification","NFC."
"Disjunctive Unification","Forward Secrecy."
"Disjunctive Unification","Proximity Card."
"Disjunctive Unification","The Future of Classic Data Administration: Objects + Databases + CASE"
"Disjunctive Unification","Innovative Rehabilitation Technologies for Home Environments - An Overview."
"Disjunctive Unification","Network Bandwidth Denial of Service (DoS)."
"Disjunctive Unification","Verträglichkeitsprüfungen für die Verarbeitung räumlichen Wissens"
"Disjunctive Unification","Public Exponent."
"Ereignisse und Repräsentationen","Genetic Code."
"Ereignisse und Repräsentationen","Spatial Queues with Infinitely Many Servers"
"Ereignisse und Repräsentationen","Chosen Ciphertext Attack."
"Ereignisse und Repräsentationen","Boolean Manipulation with Free BDD's - First Experimental Results"
"Ereignisse und Repräsentationen","Security and Privacy in Online Social Networks."
"Ereignisse und Repräsentationen","Passport Security."
"Ereignisse und Repräsentationen","SET."
"Ereignisse und Repräsentationen","Portierung des DBLP-Systems auf ein relationales Datenbanksystem und Evaluation der Performance."
"Ereignisse und Repräsentationen","Group Key Agreement."
"Ereignisse und Repräsentationen","PRPL: A Database Workload Specification Language, v1.3."
"Ereignisse und Repräsentationen","Biometric Key Generation."
"Ereignisse und Repräsentationen","Eine Prolog-Theorie für zeitliche Beziehungen zwischen Ereignissen"
"Ereignisse und Repräsentationen","MASH Hash Functions (Modular Arithmetic Secure Hash)."
"On the Role of Reasoning about Change in the Projection of Presuppositions","Three-Factor Authentication."
"On the Role of Reasoning about Change in the Projection of Presuppositions","Run."
"On the Role of Reasoning about Change in the Projection of Presuppositions","Closest Vector Problem."
"On the Role of Reasoning about Change in the Projection of Presuppositions","Platform for Privacy Preferences (P3P)."
"On the Role of Reasoning about Change in the Projection of Presuppositions","CEPS Standard."
"On the Role of Reasoning about Change in the Projection of Presuppositions","DeBruijn sequence."
"On the Role of Reasoning about Change in the Projection of Presuppositions","Information Theory."
"On the Role of Reasoning about Change in the Projection of Presuppositions","Extended Euclidean Algorithm."
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","Practical PRAM Programming with Fork95 - A Tutorial"
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","Representation of Feedback Operators for Hyperbolic Partial Differential Equation Control Problems"
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","Biometric Sample Quality."
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","ElGamal Digital Signature Scheme."
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","Elliptic Curve Keys."
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","Lattice Reduction."
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","Enigma."
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","On Continuous Deformations of Semi-Infinite Optimization Problems"
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","SPKI/SDSI."
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","Separation of Duties."
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","Communication Channel Anonymity."
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","The LILOG Knowledge Representation System"
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","Security of Web Browser Scripting Languages."
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","Mentale Bilder und Wegbedeutungen"
"A Brief Overlook of LILOG-DB","Verarbeitung natürlicher Sprache"
"A Brief Overlook of LILOG-DB","The WWW meets EDA: Usability evaluation of OBDD-heuristics via the Internet"
"A Brief Overlook of LILOG-DB","Correcting-Block Attack."
"A Brief Overlook of LILOG-DB","A Phase Space Model for Spatial BMAPs"
"A Brief Overlook of LILOG-DB","WebS - ein System zur Generierung von Wegbeschreibungen"
"A Brief Overlook of LILOG-DB","Credential Verification."
"A Brief Overlook of LILOG-DB","IC Integrated Circuit."
"A Brief Overlook of LILOG-DB","Domain Restriction and Other Kinds of Reference Set Operations in Sentence and Discourse Semantics."
"A Brief Overlook of LILOG-DB","Linear Sifting of Decision Diagrams"
"A Brief Overlook of LILOG-DB","Structural Cryptanalysis."
"A Brief Overlook of LILOG-DB","Experiments with Dispatching in a Distributed Object System."
"A Brief Overlook of LILOG-DB","SQL Access Control Model."
"A Brief Overlook of LILOG-DB","At Ease with ""AT"""
"Leistungsanalyse des Datenbanksystems LILOG-DB","Mathematical Logic and Artificial Intelligence"
"Leistungsanalyse des Datenbanksystems LILOG-DB","Standard Basis."
"Leistungsanalyse des Datenbanksystems LILOG-DB","Exponential Key Exchange."
"Leistungsanalyse des Datenbanksystems LILOG-DB","Program Verification and Security."
"Leistungsanalyse des Datenbanksystems LILOG-DB","Secure Time Synchronization."
"Leistungsanalyse des Datenbanksystems LILOG-DB","Miller-Rabin Test."
"Leistungsanalyse des Datenbanksystems LILOG-DB","Gait Recognition."
"Leistungsanalyse des Datenbanksystems LILOG-DB","The universAAL Reference Model for AAL."
"Leistungsanalyse des Datenbanksystems LILOG-DB","Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke"
"Leistungsanalyse des Datenbanksystems LILOG-DB","Scheduling of Conditional Executed Jobs"
"Leistungsanalyse des Datenbanksystems LILOG-DB","Network Capabilities."
"RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.","Ciphertext-Only Attack."
"RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.","Convergence Rate of the Augmented Lagrangian SQP Method"
"RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.","Tracking Natural Human Movements Identifies Differences in Cognition and Health."
"RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.","Random Number Testing."
"RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.","CMAC."
"RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.","Integrating Synchronous and Asynchronous Paradigms: The Fork95 Parallel Programming Language"
"RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.","EMV."
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","Nonlinearity of Boolean Functions."
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","Index Calculus Method."
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","PKIX - Public Key Infrastructure (X.509)."
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","Condensing Tensor Product Modules"
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","Differential Privacy."
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","Key."
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","Vigenére Encryption."
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","Static Output Feedback Design by Using a Newton-SQP Interior Point Method"
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","A Modal µ""-Calculus for Durational Transition Systems"
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","Escrow Service."
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","Substitution-Permutation (SP) Network."
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","Largest j-Simplices in n-Polytopes"
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","Applications of Formal Methods to Intrusion Detection."
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","Anonymous Web Browsing and Publishing."
"Tableau Calculus for Order Sorted Logic","Weak Error Tolerance Criterion in Generalized Proximal Methods"
"Tableau Calculus for Order Sorted Logic","Two-Key Cryptosystem."
"Tableau Calculus for Order Sorted Logic","Entitlements Management."
"Tableau Calculus for Order Sorted Logic","Cryptosystem."
"Tableau Calculus for Order Sorted Logic","Perspectives on Social Network Analysis for Observational Scientific Data."
"Tableau Calculus for Order Sorted Logic","Second preimage resistance."
"Tableau Calculus for Order Sorted Logic","File System Permissions."
"Tableau Calculus for Order Sorted Logic","A Decomposition Approach for the Global Minimization of Biconcave Functions over Polytopes"
"Tableau Calculus for Order Sorted Logic","The Compilation of a High Level Data Language."
"Tableau Calculus for Order Sorted Logic","On the Acceptance Power of Groups and Semigroups"
"Tableau Calculus for Order Sorted Logic","MD4 Hash Function."
"Tableau Calculus for Order Sorted Logic","E-Privacy."
"Tableau Calculus for Order Sorted Logic","Object Model Capabilities For Distributed Object Management."
"Parsingstrategien für Unifikationsgrammatiken mit ID/LP-Regeln","Time-memory tradeoffs."
"Parsingstrategien für Unifikationsgrammatiken mit ID/LP-Regeln","Collision Resistance."
"Parsingstrategien für Unifikationsgrammatiken mit ID/LP-Regeln","An Overview on Planning Applications in PROTOS-L"
"Parsingstrategien für Unifikationsgrammatiken mit ID/LP-Regeln","Happy Healthy Home."
"Parsingstrategien für Unifikationsgrammatiken mit ID/LP-Regeln","Contactless Cards."
"Parsingstrategien für Unifikationsgrammatiken mit ID/LP-Regeln","On the Queue-Length-Distributions of the E"
"Parsingstrategien für Unifikationsgrammatiken mit ID/LP-Regeln","Public-Key Encryption."
"Parsingstrategien für Unifikationsgrammatiken mit ID/LP-Regeln","Exhaustive Key Search."
"Sort-Lattice Management in LILOG-DB","Domain Restriction and Other Kinds of Reference Set Operations in Sentence and Discourse Semantics."
"Sort-Lattice Management in LILOG-DB","Finite Limits and Lower Bounds for Circuits Size"
"Sort-Lattice Management in LILOG-DB","Koordination von nichtverbalen Satzkonstituenten"
"Sort-Lattice Management in LILOG-DB","Persistence and Justified Causation: Some Remarks on Nonmonotonic Temporal Reasoning"
"Sort-Lattice Management in LILOG-DB","Linear Feedback Shift Register."
"Sort-Lattice Management in LILOG-DB","Modification of User Defined Types"
"Sort-Lattice Management in LILOG-DB","The Inhomogeneous BMAP/G/infinity Queue"
"Sort-Lattice Management in LILOG-DB","Malware Detection."
"Sort-Lattice Management in LILOG-DB","SQL/Data System, General Information Manual."
"Sort-Lattice Management in LILOG-DB","Safe Prime."
"Sort-Lattice Management in LILOG-DB","Schnorr Digital Signature Scheme."
"Sort-Lattice Management in LILOG-DB","Weak Error Tolerance Criterion in Generalized Proximal Methods"
"Sort-Lattice Management in LILOG-DB","Complete Families of Invariant Distributions"
"Sorted Feature Terms and Relational Dependencies","Control Vector."
"Sorted Feature Terms and Relational Dependencies","Clock-Controlled Generator."
"Sorted Feature Terms and Relational Dependencies","On Alternating vs. Parity Communication Complexity"
"Sorted Feature Terms and Relational Dependencies","Schnorr Digital Signature Scheme."
"Sorted Feature Terms and Relational Dependencies","Anonymity."
"Sorted Feature Terms and Relational Dependencies","Trust Region Methods for Solving the Optimal Output Feedback Design Problem"
"Sorted Feature Terms and Relational Dependencies","Spectre Attacks: Exploiting Speculative Execution."
"Sorted Feature Terms and Relational Dependencies","Numerical Solution of a Semilinear Parabolic Control Problem"
"Sorted Feature Terms and Relational Dependencies","Android's Security Framework-Understanding the Security of Mobile Phone Platforms."
"Sorted Feature Terms and Relational Dependencies","Web Security."
"Sorted Feature Terms and Relational Dependencies","Ereignisse und Repräsentationen"
"Sorted Feature Terms and Relational Dependencies","Jamming Resistance."
"Sorted Feature Terms and Relational Dependencies","Biometric Privacy."
"Sorted Feature Terms and Relational Dependencies","Time-stamping."
"Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype","Tempest."
"Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype","Block ciphers."
"Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype","No-Waiting Stations with Special Arrival Processes and Customer Motion"
"Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype","Deobfuscating Malware."
"Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype","Chroot Jail."
"Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype","Inversion Attack."
"Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype","HTTP Session Security."
"Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype","Secure Time Synchronization."
"Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype","Correctness Proof for the WAM"
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","Convergence Rate of the Augmented Lagrangian SQP Method"
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","Ordered Binary Decision Diagrams in Electronic Design Automation"
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","Operational Separation of Duties."
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","Least Common Multiple."
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","Stream Cipher."
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","Nonlinear Feedback Shift Register."
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","Eine Prolog-Theorie für zeitliche Beziehungen zwischen Ereignissen"
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","Syntaktische Analysevorschläge zur Behandlung von lokalen Präfixverben in einem System für die Generierung von Wegbeschreibungen"
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","A Decomposition Algorithm for Optimization over Efficient Sets"
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","Network Bandwidth Denial of Service (DoS)."
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","Key agreement."
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","Optimal Static Output Feedback Design By Using a Trust Region Interior Point Method"
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","Multi-Relational Characterization of Dynamic Social Network Communities."
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","Euler's Totient Function."
"Wissensbasisverwaltung für LILOG","Privacy-Preserving Authentication in Wireless Access Networks."
"Wissensbasisverwaltung für LILOG","Standard Basis."
"Wissensbasisverwaltung für LILOG","Interception."
"Wissensbasisverwaltung für LILOG","Spezifikation eines Theorembeweisers für dreiwertige First-Order Logik."
"Wissensbasisverwaltung für LILOG","Textunderstanding in LILOG - Sorts and Reference Objects"
"Wissensbasisverwaltung für LILOG","Function Field Sieve."
"Wissensbasisverwaltung für LILOG","R&D Projects Related to AAL in TECNALIA's Health Technologies Unit."
"Wissensbasisverwaltung für LILOG","Computer Science Curricula 2013"
"How to Fit the Lambek Calculus into the Chomsky Hierarchy","Prime number."
"How to Fit the Lambek Calculus into the Chomsky Hierarchy","Analysis of Social Networks Extracted from Log Files."
"How to Fit the Lambek Calculus into the Chomsky Hierarchy","Formal Methods."
"How to Fit the Lambek Calculus into the Chomsky Hierarchy","Practical E-Cash."
"How to Fit the Lambek Calculus into the Chomsky Hierarchy","Nonrepudiation."
"How to Fit the Lambek Calculus into the Chomsky Hierarchy","Utilization of Cloud Infrastructures for Pervasive Healthcare Applications."
"How to Fit the Lambek Calculus into the Chomsky Hierarchy","Data Remanence."
"How to Fit the Lambek Calculus into the Chomsky Hierarchy","Scheduling with Incompatible Jobs"
"How to Fit the Lambek Calculus into the Chomsky Hierarchy","Multiprecision Multiplication."
"How to Fit the Lambek Calculus into the Chomsky Hierarchy","AAL in Cardiac Rehabilitation."
"Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","Secure Coprocessor."
"Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","Miller-Rabin Test."
"Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","Confirmer Signatures."
"Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","A Unifying Theoretical Background for Some BDD-based Data Structures"
"Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","Goldwasser-Micali Encryption Scheme."
"Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","Share."
"Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","Simultaneous Pseudo-Timestepping for PDE-model Based Optimization Problems"
"Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","Computational aspects of three-valued logic"
"Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","Smoothness Probability."
"Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","Largest j-Simplices in n-Polytopes"
"Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","VisBDD - A Webbased Visualization Framework for OBDD Algorithms"
"Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","Access Control Matrix."
"Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","Typing Patterns."
"Strategien zur Pronominalisierung","Trust Management in Databases."
"Strategien zur Pronominalisierung","Online Identities and Social Networking."
"Strategien zur Pronominalisierung","Genetic Programming Applications in Chemical Sciences and Engineering."
"Strategien zur Pronominalisierung","Biometric Technologies and Security - International Biometric Standards Development Activities."
"Strategien zur Pronominalisierung","Euclid's Algorithm."
"Strategien zur Pronominalisierung","Introduction to Ubiquitous Computing."
"Strategien zur Pronominalisierung","Attribute Certificate."
"Strategien zur Pronominalisierung","ABA digital signature guidelines."
"Strategien zur Pronominalisierung","Ein modularer Ansatz für prinzipienbasiertes Parsing"
"Strategien zur Pronominalisierung","Interception."
"Index Path Length Evaluation for the Research Storage System of System R.","Signed Digit Exponentiation."
"Index Path Length Evaluation for the Research Storage System of System R.","How could a good system of practical NLP look like?"
"Index Path Length Evaluation for the Research Storage System of System R.","CCIT2-Code."
"Index Path Length Evaluation for the Research Storage System of System R.","Naccache-Stern Higher Residues Cryptosystem."
"Index Path Length Evaluation for the Research Storage System of System R.","Key Variation."
"Index Path Length Evaluation for the Research Storage System of System R.","Stochastic Constraint Aggregation Method for Convex Semi-Infinite Problems"
"Index Path Length Evaluation for the Research Storage System of System R.","Optimal Control of Thermally Coupled Navier-Stokes Equations in Food Industry"
"Index Path Length Evaluation for the Research Storage System of System R.","Using Knowledge-Based Methods to Administrate an Access Control System"
"Index Path Length Evaluation for the Research Storage System of System R.","Trading Volatility Using Highly Accurate Symbolic Regression."
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben","Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype"
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben","Neue Ergebnisse für BMAPs und räumliche Warteschlangen"
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben","IDEA."
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben","Relationship Anonymity."
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben","Verträglichkeitsprüfungen für die Verarbeitung räumlichen Wissens"
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben","CPS, Certificate Practice Statement."
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben","Levels of Trust."
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben","Elliptic Curves for Primality Proving."
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben","Distinguishing Attacks."
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben","Pretty Good Privacy (PGP)."
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben","SQL/Data System, Conpects and Facilities."
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben","Maximal-Length Linear Sequence."
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben","Vom M/G/1- zum BMAP/G/1-Modell"
"Operationen in erweiterten Typunifikationsformalismen","Attestation."
"Operationen in erweiterten Typunifikationsformalismen","Secure Routing in Wireless Mesh Networks."
"Operationen in erweiterten Typunifikationsformalismen","PKCS."
"Operationen in erweiterten Typunifikationsformalismen","AAL Technologies in Rehabilitation - Lessons Learned from a COPD Case Study."
"Operationen in erweiterten Typunifikationsformalismen","Web Security Auditing."
"WebS - ein System zur Generierung von Wegbeschreibungen","Temporales Schließen in einem natürlichsprachlichen System"
"WebS - ein System zur Generierung von Wegbeschreibungen","Universal One-Way Hash Functions."
"WebS - ein System zur Generierung von Wegbeschreibungen","Remote Attestation."
"WebS - ein System zur Generierung von Wegbeschreibungen","The Many-Valued Theorem Prover "
"WebS - ein System zur Generierung von Wegbeschreibungen","Applying Formal Verification with Protocol Compiler"
"WebS - ein System zur Generierung von Wegbeschreibungen","Global Optimization Techniques for Solving the General Quadratic Integer Programming Problem"
"WebS - ein System zur Generierung von Wegbeschreibungen","Mobile Payments."
"WebS - ein System zur Generierung von Wegbeschreibungen","TI-jPACS - eine frei verfügbare leistungsfähige Plattform zur medizinischen Bildverarbeitung und -visualisierung"
"Statistische Untersuchungen an einsprachigen Zeitungstexten","Pseudoprime."
"Statistische Untersuchungen an einsprachigen Zeitungstexten","Human Ear Verification."
"Statistische Untersuchungen an einsprachigen Zeitungstexten","POK."
"Statistische Untersuchungen an einsprachigen Zeitungstexten","Reduction of Generalized Semi-Infinite Programming Problems to Semi-Infinite or Piece-Wise Smooth Programming Problems"
"Statistische Untersuchungen an einsprachigen Zeitungstexten","PUF."
"Statistische Untersuchungen an einsprachigen Zeitungstexten","Weak Exclusion."
"Statistische Untersuchungen an einsprachigen Zeitungstexten","Entropy Sources."
"Statistische Untersuchungen an einsprachigen Zeitungstexten","Blinding Techniques."
"Statistische Untersuchungen an einsprachigen Zeitungstexten","E0 (Bluetooth)."
"Statistische Untersuchungen an einsprachigen Zeitungstexten","Integrating Object-Oriented Applications and Middleware with Relational Databases."
"Statistische Untersuchungen an einsprachigen Zeitungstexten","Multicast Authentication."
"Statistische Untersuchungen an einsprachigen Zeitungstexten","Nonlinearity of Boolean Functions."
"International Workshop on Terminological Logics - Proceedings","Asymmetric Cryptosystem."
"International Workshop on Terminological Logics - Proceedings","Client Puzzles."
"International Workshop on Terminological Logics - Proceedings","Moore's Law."
"International Workshop on Terminological Logics - Proceedings","PRESENT - Block Cipher."
"International Workshop on Terminological Logics - Proceedings","Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen"
"International Workshop on Terminological Logics - Proceedings","Biometric Cryptosystem."
"International Workshop on Terminological Logics - Proceedings","Hash functions."
"International Workshop on Terminological Logics - Proceedings","Sliding Window Exponentiation."
"International Workshop on Terminological Logics - Proceedings","THOR - A System for Computing in Equational Theories"
"International Workshop on Terminological Logics - Proceedings","Gene."
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Pretty Good Privacy (PGP)."
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Web Security."
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Access Control Lists."
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Anonymous Communication."
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Handbook of Research on Ubiquitous Computing Technology for Real Time Enterprises"
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Operational Separation of Duties."
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Räumliche Markov-additive Prozesse und Bedienstationen ohne Warteraum"
